[<serial.tools.list_ports_linux.SysFS object at 0x7f508a6fba90>]
/dev/ttyACM0 - CH554_CDC
Fusing layers... 
[-262.7481061307152, 1043.7165254438899]
[-256.9130397346963, 1040.745479961855]
[-258.63818732812035, 1040.737378802588]
[-258.63818732812035, 1040.737378802588]
[-260.3633349215444, 1040.729277643321]
[-201.38298761373673, 1039.0073201602288]
[-201.38298761373673, 1039.0073201602288]
[-256.05321622955535, 1036.7516683892645]
[-199.01732933393947, 1035.0205798709221]
[-200.73265717280663, 1035.0125248244606]
[-202.44799991266703, 1035.0044697080252]
[-202.44799991266703, 1035.0044697080252]
[-253.9079691876211, 1034.7628176844178]
[-203.99747409496402, 1033.9976716148387]
[-205.71116282457282, 1033.9896242655072]
[-231.41659807565767, 1033.8689135357176]
[-251.9809373359296, 1033.77234499387]
[-205.37619275054416, 1031.992272640455]
[-207.08660326163627, 1031.9842406853834]
[-207.08660326163627, 1031.9842406853834]
[-219.05955134424724, 1031.9280166500123]
[-220.76997675633257, 1031.9199846249667]
[-232.74293973993682, 1031.8637605196218]
[-198.2126041002544, 1030.0269876784935]
[-256.25566828556146, 1029.7544219518834]
correct [-256.9130397346963, 1040.745479961855]
correct [-258.63818732812035, 1040.737378802588]
correct [-258.63818732812035, 1040.737378802588]
correct [-260.3633349215444, 1040.729277643321]
correct [-201.38298761373673, 1039.0073201602288]
correct [-201.38298761373673, 1039.0073201602288]
correct [-256.05321622955535, 1036.7516683892645]
correct [-199.01732933393947, 1035.0205798709221]
correct [-200.73265717280663, 1035.0125248244606]
correct [-202.44799991266703, 1035.0044697080252]
correct [-202.44799991266703, 1035.0044697080252]
correct [-253.9079691876211, 1034.7628176844178]
correct [-203.99747409496402, 1033.9976716148387]
correct [-205.71116282457282, 1033.9896242655072]
correct [-231.41659807565767, 1033.8689135357176]
correct [-251.9809373359296, 1033.77234499387]
correct [-205.37619275054416, 1031.992272640455]
correct [-207.08660326163627, 1031.9842406853834]
correct [-207.08660326163627, 1031.9842406853834]
correct [-219.05955134424724, 1031.9280166500123]
correct [-220.76997675633257, 1031.9199846249667]
correct [-232.74293973993682, 1031.8637605196218]
correct [-198.2126041002544, 1030.0269876784935]
correct [-256.25566828556146, 1029.7544219518834]
[-224.65092533835355, 1034.9834652317525]
-3.1265545140555635
[40.541899779944224, 1611.8432086613623]
[-49.47386031247818, 1581.436274916929]
[-18.440871858431606, 1545.6008837027491]
[-20.990955202222693, 1545.5889087091944]
[-31.178819277129442, 1522.5531363098862]
[-33.69125689125093, 1522.5413380977577]
[-46.25344729013859, 1522.4823470261808]
[11.996522886377562, 1080.9878246284181]
[10.207535712588975, 1080.9794236834343]
[-16.652371283915837, 1078.8543670253546]
[-18.459914448716148, 1076.8469543243423]
[22.487638787270164, 1076.0397189751222]
[-29.155647628957293, 1075.7972061084404]
[27.723109689723618, 1074.065379721794]
[25.945577654501943, 1074.0570325692522]
[24.16804561928026, 1074.0486854167102]
[-27.38576970905659, 1071.8076680807824]
[57.61591725747185, 1070.2077856433455]
[-32.70417957600653, 1069.7836494753735]
[55.685615984965786, 1068.1997964797827]
[51.84466039956402, 1064.183910413255]
[46.418221591087594, 1062.1593845123173]
[74.15378200628807, 1058.2917793153188]
[75.60721133486231, 1055.300158005529]
[84.99458540646235, 1045.3494981465296]
[96.98445171803219, 1044.4062797459617]
[86.61388939589118, 1044.3575803898134]
[96.74330468973604, 1042.40622271969]
[95.01814219531876, 1042.398121490449]
correct [11.996522886377562, 1080.9878246284181]
correct [10.207535712588975, 1080.9794236834343]
correct [-16.652371283915837, 1078.8543670253546]
correct [-18.459914448716148, 1076.8469543243423]
correct [22.487638787270164, 1076.0397189751222]
correct [-29.155647628957293, 1075.7972061084404]
correct [27.723109689723618, 1074.065379721794]
correct [25.945577654501943, 1074.0570325692522]
correct [24.16804561928026, 1074.0486854167102]
correct [-27.38576970905659, 1071.8076680807824]
correct [57.61591725747185, 1070.2077856433455]
correct [-32.70417957600653, 1069.7836494753735]
correct [55.685615984965786, 1068.1997964797827]
correct [51.84466039956402, 1064.183910413255]
correct [46.418221591087594, 1062.1593845123173]
correct [74.15378200628807, 1058.2917793153188]
correct [75.60721133486231, 1055.300158005529]
correct [84.99458540646235, 1045.3494981465296]
correct [96.98445171803219, 1044.4062797459617]
correct [86.61388939589118, 1044.3575803898134]
correct [96.74330468973604, 1042.40622271969]
correct [95.01814219531876, 1042.398121490449]
[37.26592407648956, 1065.024019403228]
-14.575261887812351
[135.7963809544492, 1634.278925412731]
[135.7963809544492, 1634.278925412731]
[185.79632459300265, 1625.5185009124484]
[185.79632459300265, 1625.5185009124484]
[-227.92723940806616, 1610.5824984107535]
[-227.92723940806616, 1610.5824984107535]
[45.24811326583089, 1598.8721199342385]
[45.24811326583089, 1598.8721199342385]
[42.61127820191727, 1598.859737561336]
[42.61127820191727, 1598.859737561336]
[39.97444313800366, 1598.8473551884333]
[39.97444313800366, 1598.8473551884333]
[37.337615524586674, 1598.834972850518]
[37.337615524586674, 1598.834972850518]
[24.018134402674825, 1594.7745763633861]
[24.018134402674825, 1594.7745763633861]
[-223.22868609102898, 1593.613524475003]
[-223.22868609102898, 1593.613524475003]
[169.68275599948754, 1582.4654173856272]
[169.68275599948754, 1582.4654173856272]
[12.9240557762099, 1573.7334730693794]
[12.9240557762099, 1573.7334730693794]
[7.540150265515248, 1565.7123730459064]
[7.540150265515248, 1565.7123730459064]
[97.61362854873417, 1562.1375018752303]
[97.61362854873417, 1562.1375018752303]
[-110.85926946240147, 1557.1605609350686]
[-110.85926946240147, 1557.1605609350686]
[-113.42899045268213, 1557.1484937246494]
[-113.42899045268213, 1557.1484937246494]
[98.86298430744824, 1546.1517335112283]
[98.86298430744824, 1546.1517335112283]
[-74.20230602491672, 1533.3453654757755]
[-74.20230602491672, 1533.3453654757755]
[-99.32778766959272, 1529.2294097793367]
[-99.32778766959272, 1529.2294097793367]
[-101.85168438035745, 1529.217557756179]
[-101.85168438035745, 1529.217557756179]
[-106.89947035139028, 1529.1938537448511]
[-106.89947035139028, 1529.1938537448511]
[-114.2529476714845, 1525.1614731487482]
[-114.2529476714845, 1525.1614731487482]
[-134.39172946530803, 1525.0669029917497]
[-134.39172946530803, 1525.0669029917497]
[-88.96489161959234, 1522.2817773970337]
[-88.96489161959234, 1522.2817773970337]
[-86.30624945372581, 1518.296293790601]
[-86.30624945372581, 1518.296293790601]
[-138.92995277487617, 1518.0491769621917]
[-138.92995277487617, 1518.0491769621917]
[-141.4358453605372, 1518.037409485009]
[-141.4358453605372, 1518.037409485009]
[-81.16135849319548, 1514.322604562359]
[-63.57867178963337, 1510.4073222580396]
[-63.57867178963337, 1510.4073222580396]
[-78.40888583109982, 1506.3397123395898]
[-78.40888583109982, 1506.3397123395898]
[-50.964686915111166, 1499.47229243043]
[-50.964686915111166, 1499.47229243043]
[-129.89398584397242, 1495.103678181961]
[-129.89398584397242, 1495.103678181961]
[-45.93219930496433, 1491.5001069809803]
[-45.93219930496433, 1491.5001069809803]
[-18.87644494208853, 1488.6287122034014]
[-18.87644494208853, 1488.6287122034014]
[-23.838069482969097, 1477.6112678241652]
[-23.838069482969097, 1477.6112678241652]
[-60.41982259966871, 1477.4394827494302]
[-60.41982259966871, 1477.4394827494302]
[-60.41982259966871, 1477.4394827494302]
[-60.41982259966871, 1477.4394827494302]
[-26.298702792916586, 1469.6038952601682]
[-26.298702792916586, 1469.6038952601682]
[-52.93546553902343, 1466.4803645875477]
[-43.191268042206076, 1459.5298268448355]
[-43.191268042206076, 1459.5298268448355]
[-33.54526538910738, 1455.577155341193]
[-33.54526538910738, 1455.577155341193]
[-35.94803984183244, 1455.5658720987628]
[-35.94803984183244, 1455.5658720987628]
[-134.03746638019382, 1092.2957272016242]
[-134.03746638019382, 1092.2957272016242]
[136.61234753900214, 1077.5751616366028]
[136.61234753900214, 1077.5751616366028]
[63.53231853245703, 1077.2319834897141]
[63.53231853245703, 1077.2319834897141]
[138.23982472323286, 1076.5832822605753]
[138.23982472323286, 1076.5832822605753]
[68.60628689584925, 1074.2573639503617]
[68.60628689584925, 1074.2573639503617]
[61.49616620545915, 1074.223975375181]
[61.49616620545915, 1074.223975375181]
[128.74876266782968, 1072.5408637323828]
[128.74876266782968, 1072.5408637323828]
[32.822169476876574, 1070.0913561271911]
[32.822169476876574, 1070.0913561271911]
[-192.09258830014554, 1069.0351738728723]
[126.39396565212252, 1068.5318374044812]
[126.39396565212252, 1068.5318374044812]
[30.937696209134756, 1068.0835821683836]
[30.937696209134756, 1068.0835821683836]
[69.64178515932277, 1066.2664089490142]
[69.64178515932277, 1066.2664089490142]
[23.666070045005426, 1064.0515859389593]
[23.666070045005426, 1064.0515859389593]
[21.904910476125714, 1064.0433156702493]
[21.904910476125714, 1064.0433156702493]
[157.1651750675133, 1062.6794436144312]
[157.1651750675133, 1062.6794436144312]
[5.986790347060879, 1061.9695216477426]
[5.986790347060879, 1061.9695216477426]
[-20.381531421400823, 1061.845698054292]
[-20.381531421400823, 1061.845698054292]
[-22.13941929094838, 1061.8374431492282]
[-22.13941929094838, 1061.8374431492282]
[-192.65456591986356, 1061.0367172487045]
[158.570602695193, 1060.687118775008]
[158.570602695193, 1060.687118775008]
[7.673746165607759, 1059.9785188428637]
[7.673746165607759, 1059.9785188428637]
[-27.42400824858815, 1057.8147778923774]
[-27.42400824858815, 1057.8147778923774]
[-29.175349459879122, 1057.8065537299128]
[-29.175349459879122, 1057.8065537299128]
[-30.926690671170093, 1057.7983295674485]
[-30.926690671170093, 1057.7983295674485]
[-32.67149505274392, 1054.7916896002653]
[-32.67149505274392, 1054.7916896002653]
[-192.73209655720817, 1050.0422081955462]
[-192.73209655720817, 1050.0422081955462]
[83.47949391890218, 1047.3413080129742]
[83.47949391890218, 1047.3413080129742]
[81.74615822968302, 1047.3331684030447]
[81.74615822968302, 1047.3331684030447]
[174.95787190285515, 1045.771958760839]
[174.95787190285515, 1045.771958760839]
[171.497742060457, 1045.7557102595254]
[171.497742060457, 1045.7557102595254]
[169.76769204025118, 1045.7475860788425]
[169.76769204025118, 1045.7475860788425]
[176.49205396829905, 1044.7796412781713]
[176.49205396829905, 1044.7796412781713]
[100.44130334191365, 1044.4225128530154]
[100.44130334191365, 1044.4225128530154]
[98.71286262897966, 1044.4143962295145]
[98.71286262897966, 1044.4143962295145]
[198.5273107216185, 1042.8841925159227]
[198.5273107216185, 1042.8841925159227]
[199.81490129461582, 1040.8913143228322]
[199.81490129461582, 1040.8913143228322]
correct [158.570602695193, 1060.687118775008]
correct [158.570602695193, 1060.687118775008]
correct [7.673746165607759, 1059.9785188428637]
correct [7.673746165607759, 1059.9785188428637]
correct [-27.42400824858815, 1057.8147778923774]
correct [-27.42400824858815, 1057.8147778923774]
correct [-29.175349459879122, 1057.8065537299128]
correct [-29.175349459879122, 1057.8065537299128]
correct [-30.926690671170093, 1057.7983295674485]
correct [-30.926690671170093, 1057.7983295674485]
correct [-32.67149505274392, 1054.7916896002653]
correct [-32.67149505274392, 1054.7916896002653]
correct [-192.73209655720817, 1050.0422081955462]
correct [-192.73209655720817, 1050.0422081955462]
correct [83.47949391890218, 1047.3413080129742]
correct [83.47949391890218, 1047.3413080129742]
correct [81.74615822968302, 1047.3331684030447]
correct [81.74615822968302, 1047.3331684030447]
correct [174.95787190285515, 1045.771958760839]
correct [174.95787190285515, 1045.771958760839]
correct [171.497742060457, 1045.7557102595254]
correct [171.497742060457, 1045.7557102595254]
correct [169.76769204025118, 1045.7475860788425]
correct [169.76769204025118, 1045.7475860788425]
correct [176.49205396829905, 1044.7796412781713]
correct [176.49205396829905, 1044.7796412781713]
correct [100.44130334191365, 1044.4225128530154]
correct [100.44130334191365, 1044.4225128530154]
correct [98.71286262897966, 1044.4143962295145]
correct [98.71286262897966, 1044.4143962295145]
correct [198.5273107216185, 1042.8841925159227]
correct [198.5273107216185, 1042.8841925159227]
correct [199.81490129461582, 1040.8913143228322]
[73.26331202008963, 1050.1706259488901]
-1.8868721091086362
[-300.32192353831294, 1792.1470618113487]
[-234.98367844023366, 1668.518890738317]
[-231.15042424167987, 1659.541671045895]
[30.057874902956996, 1615.7918257309268]
[56.49056697266514, 1611.9181023652502]
[45.85812714451562, 1611.8681732526495]
[16.358634277107477, 1602.734425565859]
[13.387862167364482, 1590.7266890458395]
[5.046820275485503, 1569.698513798766]
[2.2915723520190907, 1561.6898768941253]
[-41.363266795373775, 1541.4952735305808]
[-69.34216987059719, 1541.3638867722577]
[-130.3870465981768, 1541.0772247668206]
[-54.01985767466047, 1537.4379899246035]
[-76.85276326360125, 1537.330768371265]
[-112.37061433237116, 1537.163979298013]
[-81.16135849319548, 1514.322604562359]
[-90.9994348795854, 1510.2785564817884]
[-93.49223694266949, 1510.2668504766843]
[-95.98503155525695, 1510.255144506567]
[-23.711394514649456, 1506.5965675155471]
[-26.21676341403182, 1499.5885067593224]
[-28.691555764139753, 1499.5768853264333]
[-65.81344101575877, 1499.4025638330943]
[-65.81344101575877, 1499.4025638330943]
[-58.18505095428397, 1488.4441220390102]
[-58.18505095428397, 1488.4441220390102]
[-38.508937561206196, 1484.538670304023]
[-101.01498960675886, 1459.2582911341565]
[-102.72927324168181, 1445.257530368006]
[-105.11568221290548, 1445.2463239766075]
[-134.90545543946624, 1428.1153955349075]
[-137.26403680578105, 1428.1043198197829]
[-107.65172226292495, 1404.2559240890573]
[-116.11124637076804, 1354.2424876231316]
[-137.5646358673598, 1110.2697237475975]
[-16.551955655605276, 1086.850656190217]
[12.151479373580019, 1084.9864015291291]
[10.35594693850296, 1084.9779698481059]
[-18.372594374219826, 1084.843062846774]
[-25.55472970240052, 1084.8093360964413]
[-34.51713519210993, 1080.7694000984695]
[27.50922033082189, 1070.0664069301638]
[-192.12102967687713, 1046.0471093344177]
correct [-234.98367844023366, 1668.518890738317]
correct [-231.15042424167987, 1659.541671045895]
correct [30.057874902956996, 1615.7918257309268]
correct [56.49056697266514, 1611.9181023652502]
correct [45.85812714451562, 1611.8681732526495]
correct [16.358634277107477, 1602.734425565859]
